id,name,description,image,status,meta_title,meta_description
1,Cakes,Delicious cakes for every occasion,cakes.jpg,active,Best Cakes Online - Fresh & Delicious,Order fresh and delicious cakes online for birthdays anniversaries and celebrations. Same day delivery available.
2,Flowers,Fresh flowers to brighten any day,flowers.jpg,active,Fresh Flowers Online - Beautiful Bouquets,Send beautiful fresh flower bouquets and arrangements for all occasions. Express delivery available.
3,Gifts,Thoughtful gifts for your loved ones,gifts.jpg,active,Online Gifts - Unique & Personalized,Browse unique and personalized gifts for him her kids. Perfect for birthdays anniversaries and special occasions.
4,Plants,Green plants for a healthier home,plants.jpg,active,Indoor Plants Online - Green & Healthy,Buy indoor and outdoor plants online. Perfect for home decor and air purification. Free plant care guide included.
5,Chocolates,Premium chocolates and confections,chocolates.jpg,active,Premium Chocolates Online - Luxury Collection,Indulge in premium chocolates and luxury confections. Perfect for gifting and personal treats.
6,Combos,Perfect combinations for special moments,combos.jpg,active,Gift Combos Online - Flowers Cakes & More,Beautiful gift combinations of flowers cakes chocolates and more. Perfect for celebrations and surprises.
7,Personalized,Custom gifts with personal touch,personalized.jpg,active,Personalized Gifts Online - Custom Photo Gifts,Create personalized gifts with photos and custom messages. Mugs frames cushions and more.
8,Sweets,Traditional Indian sweets and mithai,sweets.jpg,active,Indian Sweets Online - Fresh Mithai,Order fresh traditional Indian sweets and mithai online. Perfect for festivals and celebrations.
9,Dry Fruits,Premium nuts and healthy snacks,dry-fruits.jpg,active,Dry Fruits Online - Premium Quality Nuts,Buy premium quality dry fruits nuts and healthy snacks. Perfect for gifting and healthy eating.
10,Balloons,Colorful balloons for celebrations,balloons.jpg,active,Party Balloons Online - Colorful Decorations,Beautiful party balloons and decorations for birthdays anniversaries and celebrations.
